ds,it,ndpso_time,fairspan_time
38,1,2115,1
38,2,2225,1
38,3,2035,1
38,4,1993,1
38,5,2135,1
38,6,2016,1
38,7,2242,1
38,8,2249,1
38,9,1937,1
39,0,2503,1
39,1,2029,1
39,2,1957,1
39,3,2254,1
39,4,2138,1
39,5,2189,1
39,6,2048,1
39,7,2039,1
39,8,2450,1
39,9,2117,1
40,0,2232,0
40,1,2318,0
40,2,1957,0
40,3,2003,0
40,4,2332,0
40,5,2150,0
40,6,2037,0
40,7,2072,0
40,8,2149,0
40,9,2219,0
41,0,1881,0
41,1,2019,0
41,2,2258,0
41,3,1998,0
41,4,1872,0
41,5,2239,0
41,6,1956,0
41,7,1882,0
41,8,2183,0
41,9,2316,0
42,0,2112,0
42,1,1984,0
42,2,2020,0
42,3,2210,0
42,4,2019,0
42,5,1971,0
42,6,2218,0
42,7,2029,0
42,8,2093,0
42,9,2115,0
43,0,2190,1
43,1,2178,1
43,2,2140,1
43,3,2107,1
43,4,2267,1
43,5,2189,1
43,6,2213,1
43,7,2302,1
43,8,2232,1
43,9,1932,1
44,0,2127,1
44,1,2004,1
44,2,2106,1
44,3,1950,1
44,4,1950,1
44,5,1968,1
44,6,1919,1
44,7,1924,1
44,8,1935,1
44,9,2096,1
45,0,2204,1
45,1,2078,1
45,2,2034,1
45,3,1995,1
45,4,2157,1
45,5,1978,1
45,6,2288,1
45,7,1997,1
45,8,1988,1
45,9,2197,1
46,0,2118,1
46,1,2133,1
46,2,2379,1
46,3,2293,1
46,4,2260,1
46,5,2525,1
46,6,2176,1
46,7,2193,1
46,8,2161,1
46,9,2362,1
47,0,2532,1
47,1,2374,1
47,2,2267,1
47,3,2139,1
47,4,2208,1
47,5,2466,1
47,6,2647,1
47,7,2301,1
47,8,2543,1
47,9,2353,1
48,0,2061,1
48,1,2072,1
48,2,2120,1
48,3,2344,1
48,4,2330,1
48,5,2088,1
48,6,1830,1
48,7,2193,1
48,8,2169,1
48,9,2029,1
49,0,2185,1
49,1,2323,1
49,2,2434,1
49,3,2015,1
49,4,2478,1
49,5,2301,1
49,6,2344,1
49,7,2454,1
49,8,2224,1
49,9,2175,1
50,0,2037,1
50,1,2227,1
50,2,1752,1
50,3,2058,1
50,4,2005,1
50,5,2345,1
50,6,2222,1
50,7,2229,1
50,8,2132,1
50,9,2353,1
51,0,1803,0
51,1,1741,0
51,2,1874,0
51,3,2332,0
51,4,2082,0
51,5,2117,0
51,6,2031,0
51,7,2237,0
51,8,2182,0
51,9,2055,0
52,0,1866,1
52,1,2166,1
52,2,2140,1
52,3,2258,1
52,4,1982,1
52,5,2110,1
52,6,2314,1
52,7,2304,1
52,8,2378,1
52,9,2127,1
53,0,2205,0
53,1,2091,0
53,2,2141,0
53,3,1807,0
53,4,2213,0
53,5,2338,0
53,6,2207,0
53,7,2143,0
53,8,2256,0
53,9,1984,0
54,0,2454,1
54,1,2277,1
54,2,2372,1
54,3,2424,1
54,4,2230,1
54,5,2331,1
54,6,2502,1
54,7,2467,1
54,8,2543,1
54,9,2415,1
55,0,1393,0
55,1,1317,0
55,2,1396,0
55,3,1341,0
55,4,1260,0
55,5,1258,0
55,6,1298,0
55,7,1264,0
55,8,1289,0
55,9,1272,0
56,0,1348,0
56,1,1244,0
56,2,1370,0
56,3,1278,0
56,4,1287,0
56,5,1199,0
56,6,1275,0
56,7,1258,0
56,8,1296,0
56,9,1275,0
57,0,1366,0
57,1,1409,0
57,2,1337,0
57,3,1290,0
57,4,1273,0
57,5,1316,0
57,6,1583,0
57,7,1388,0
57,8,1316,0
57,9,1256,0
58,0,1190,0
58,1,1275,0
58,2,1212,0
58,3,1306,0
58,4,1240,0
58,5,1235,0
58,6,1271,0
58,7,1212,0
58,8,1223,0
58,9,1262,0
59,0,1240,0
59,1,1368,0
59,2,1387,0
59,3,1282,0
59,4,1373,0
59,5,1355,0
59,6,1402,0
59,7,1327,0
59,8,1357,0
59,9,1226,0
60,0,1334,0
60,1,1343,0
60,2,1370,0
60,3,1355,0
60,4,1289,0
60,5,1360,0
60,6,1296,0
60,7,1392,0
60,8,1275,0
60,9,1218,0
61,0,1195,0
61,1,1245,0
61,2,1291,0
61,3,1325,0
61,4,1258,0
61,5,1214,0
61,6,1282,0
61,7,1384,0
61,8,1286,0
61,9,1221,0
62,0,1252,0
62,1,1293,0
62,2,1222,0
62,3,1266,0
62,4,1270,0
62,5,1248,0
62,6,1246,0
62,7,1195,0
62,8,1307,0
62,9,1323,0
63,0,1188,0
63,1,1289,0
63,2,1210,0
63,3,1226,0
63,4,1265,0
63,5,1289,0
63,6,1303,0
63,7,1195,0
63,8,1255,0
63,9,1294,0
64,0,2227,0
64,1,2366,0
64,2,2360,0
64,3,2644,0
64,4,2467,0
64,5,2495,0
64,6,2254,0
64,7,2394,0
64,8,2472,0
64,9,2434,0
65,0,2328,1
65,1,2216,1
65,2,2389,1
65,3,2261,1
65,4,2280,1
65,5,2461,1
65,6,2328,1
65,7,2437,1
65,8,2522,1
65,9,2185,1
66,0,2385,0
66,1,2312,0
66,2,2489,0
66,3,2512,0
66,4,2619,0
66,5,2181,0
66,6,2377,0
66,7,1922,0
66,8,2262,0
66,9,2259,0
67,0,2205,0
67,1,2680,0
67,2,2318,0
67,3,2340,0
67,4,2323,0
67,5,2416,0
67,6,2556,0
67,7,2231,0
67,8,2429,0
67,9,2429,0
68,0,2464,1
68,1,2294,1
68,2,2046,1
68,3,2181,1
68,4,2161,1
68,5,2013,1
68,6,2348,1
68,7,2071,1
68,8,2231,1
68,9,2047,1
69,0,2661,0
69,1,2458,0
69,2,2663,0
69,3,2516,0
69,4,2529,0
69,5,2597,0
69,6,2601,0
69,7,2683,0
69,8,2411,0
69,9,2581,0
70,0,2242,1
70,1,2150,1
70,2,2258,1
70,3,2327,1
70,4,2050,1
70,5,2295,1
70,6,2216,1
70,7,2424,1
70,8,2516,1
70,9,2203,1
71,0,2109,1
71,1,2505,1
71,2,2385,1
71,3,2365,1
71,4,2156,1
71,5,2558,1
71,6,2332,1
71,7,2347,1
71,8,2557,1
71,9,2396,1
72,0,1882,0
72,1,2374,0
72,2,2147,0
72,3,2141,0
72,4,2321,0
72,5,2553,0
72,6,2166,0
72,7,2053,0
72,8,2200,0
72,9,2065,0
73,0,3321,0
73,1,2939,0
73,2,3275,0
73,3,2832,0
73,4,2342,0
73,5,2895,0
73,6,3169,0
73,7,2979,0
73,8,2811,0
73,9,2685,0
74,0,2676,0
74,1,2597,0
74,2,3212,0
74,3,3114,0
74,4,2885,0
74,5,2947,0
74,6,2691,0
74,7,2433,0
74,8,2705,0
74,9,2858,0
75,0,3162,1
75,1,3075,1
75,2,2845,1
75,3,2366,1
75,4,2968,1
75,5,2615,1
75,6,2654,1
75,7,3050,1
75,8,2949,1
75,9,2711,1
76,0,3110,0
76,1,2652,0
76,2,2576,0
76,3,3265,0
76,4,3274,0
76,5,2961,0
76,6,2864,0
76,7,3079,0
76,8,2839,0
76,9,2793,0
77,0,2789,0
77,1,3046,0
77,2,3258,0
77,3,3023,0
77,4,3108,0
77,5,3177,0
77,6,3105,0
77,7,3117,0
77,8,3084,0
77,9,3163,0
78,0,3389,0
78,1,2945,0
78,2,3267,0
78,3,2744,0
78,4,3107,0
78,5,3157,0
78,6,3049,0
78,7,2910,0
78,8,2599,0
78,9,2918,0
79,0,3084,0
79,1,2909,0
79,2,2806,0
79,3,2747,0
79,4,2820,0
79,5,2673,0
79,6,2753,0
79,7,2584,0
79,8,3212,0
79,9,2957,0
80,0,2719,0
80,1,3501,0
80,2,3279,0
80,3,3107,0
80,4,3180,0
80,5,3402,0
80,6,3229,0
80,7,2988,0
80,8,3287,0
80,9,2933,0
81,0,3013,1
81,1,3005,1
81,2,3211,1
81,3,3020,1
81,4,2984,1
81,5,2743,1
81,6,2950,1
81,7,3109,1
81,8,3053,1
81,9,3405,1
91,0,2108,0
91,1,2095,0
91,2,2074,0
91,3,2116,0
91,4,2200,0
91,5,2112,0
91,6,2108,0
91,7,2113,0
91,8,2085,0
91,9,2092,0
92,0,2095,0
92,1,2072,0
92,2,2063,0
92,3,2076,0
92,4,2068,0
92,5,2114,0
92,6,2108,0
92,7,2072,0
92,8,2080,0
92,9,2067,0
93,0,2066,0
93,1,2082,0
93,2,2080,0
93,3,2105,0
93,4,2064,0
93,5,2054,0
93,6,2065,0
93,7,2061,0
93,8,2094,0
93,9,2088,0
94,0,2060,0
94,1,2070,0
94,2,2064,0
94,3,2101,0
94,4,2066,0
94,5,2073,0
94,6,2066,0
94,7,2070,0
94,8,2044,0
94,9,2065,0
95,0,2111,0
95,1,2127,0
95,2,2122,0
95,3,2110,0
95,4,2129,0
95,5,2142,0
95,6,2076,0
95,7,2112,0
95,8,2100,0
95,9,2119,0
96,0,2103,0
96,1,2105,0
96,2,2133,0
96,3,2084,0
96,4,2146,0
96,5,2135,0
96,6,2105,0
96,7,2084,0
96,8,2072,0
96,9,2091,0
97,0,2055,0
97,1,2060,0
97,2,2058,0
97,3,2073,0
97,4,2041,0
97,5,2065,0
97,6,2031,0
97,7,2040,0
97,8,2032,0
97,9,2060,0
98,0,2129,0
98,1,2080,0
98,2,2088,0
98,3,2101,0
98,4,2120,0
98,5,2114,0
98,6,2129,0
98,7,2121,0
98,8,2093,0
98,9,2087,0
99,0,2129,0
99,1,2087,0
99,2,2086,0
99,3,2106,0
99,4,2121,0
99,5,2066,0
99,6,2085,0
99,7,2112,0
99,8,2064,0
99,9,2080,0
100,0,2195,0
100,1,2166,0
100,2,2196,0
100,3,2232,0
100,4,2154,0
100,5,2206,0
100,6,2257,0
100,7,2167,0
100,8,2202,0
100,9,2274,0
101,0,2190,0
101,1,2172,0
101,2,2169,0
101,3,2172,0
101,4,2130,0
101,5,2163,0
101,6,2180,0
101,7,2151,0
101,8,2166,0
101,9,2183,0
102,0,2225,0
102,1,2159,0
102,2,2126,0
102,3,2153,0
102,4,2167,0
102,5,2222,0
102,6,2214,0
102,7,2213,0
102,8,2228,0
102,9,2233,0
103,0,2128,0
103,1,2115,0
103,2,2112,0
103,3,2154,0
103,4,2114,0
103,5,2156,0
103,6,2096,0
103,7,2173,0
103,8,2098,0
103,9,2122,0
104,0,2197,0
104,1,2194,0
104,2,2190,0
104,3,2117,0
104,4,2129,0
104,5,2147,0
104,6,2143,0
104,7,2133,0
104,8,2215,0
104,9,2150,0
105,0,2103,0
105,1,2090,0
105,2,2094,0
105,3,2094,0
105,4,2144,0
105,5,2122,0
105,6,2108,0
105,7,2097,0
105,8,2081,0
105,9,2148,0
106,0,2176,0
106,1,2206,0
106,2,2219,0
106,3,2186,0
106,4,2140,0
106,5,2195,0
106,6,2175,0
106,7,2175,0
106,8,2193,0
106,9,2118,0
107,0,2213,0
107,1,2173,0
107,2,2261,0
107,3,2195,0
107,4,2177,0
107,5,2227,0
107,6,2186,0
107,7,2180,0
107,8,2209,0
107,9,2223,0
108,0,2202,0
108,1,2182,0
108,2,2204,0
108,3,2242,0
108,4,2237,0
108,5,2205,0
