ds,it,ndpso_span,fairsh_span
1,0,0.3333333333333333,0.3333333333333333
1,1,0.3333333333333333,0.3333333333333333
1,2,0.3333333333333333,0.3333333333333333
1,3,0.3333333333333333,0.3333333333333333
1,4,0.3333333333333333,0.3333333333333333
1,5,0.3333333333333333,0.3333333333333333
1,6,0.3333333333333333,0.3333333333333333
1,7,0.3333333333333333,0.3333333333333333
1,8,0.3333333333333333,0.3333333333333333
1,9,0.3333333333333333,0.3333333333333333
2,0,0.14336917562724014,0.14336917562724014
2,1,0.14336917562724014,0.14336917562724014
2,2,0.14336917562724014,0.14336917562724014
2,3,0.14336917562724014,0.14336917562724014
2,4,0.14336917562724014,0.14336917562724014
2,5,0.14336917562724014,0.14336917562724014
2,6,0.14336917562724014,0.14336917562724014
2,7,0.14336917562724014,0.14336917562724014
2,8,0.14336917562724014,0.14336917562724014
2,9,0.14336917562724014,0.14336917562724014
3,0,0.03155339805825243,0.03155339805825243
3,1,0.03155339805825243,0.03155339805825243
3,2,0.03155339805825243,0.03155339805825243
3,3,0.03155339805825243,0.03155339805825243
3,4,0.03155339805825243,0.03155339805825243
3,5,0.03209876543209877,0.03155339805825243
3,6,0.03155339805825243,0.03155339805825243
3,7,0.03155339805825243,0.03155339805825243
3,8,0.03209876543209877,0.03155339805825243
3,9,0.03155339805825243,0.03155339805825243
4,0,0.5955882352941176,0.5955882352941176
4,1,0.5955882352941176,0.5955882352941176
4,2,0.6183206106870229,0.5955882352941176
4,3,0.5955882352941176,0.5955882352941176
4,4,0.5955882352941176,0.5955882352941176
4,5,0.5955882352941176,0.5955882352941176
4,6,0.6183206106870229,0.5955882352941176
4,7,0.5955882352941176,0.5955882352941176
4,8,0.5955882352941176,0.5955882352941176
4,9,0.5955882352941176,0.5955882352941176
5,0,0.2915129151291513,0.2915129151291513
5,1,0.2915129151291513,0.2915129151291513
5,2,0.2915129151291513,0.2915129151291513
5,3,0.32644628099173556,0.2915129151291513
5,4,0.2915129151291513,0.2915129151291513
5,5,0.2915129151291513,0.2915129151291513
5,6,0.2915129151291513,0.2915129151291513
5,7,0.2915129151291513,0.2915129151291513
5,8,0.2915129151291513,0.2915129151291513
5,9,0.2915129151291513,0.2915129151291513
6,0,0.2385542168674699,0.2385542168674699
6,1,0.2385542168674699,0.2385542168674699
6,2,0.2385542168674699,0.2385542168674699
6,3,0.2385542168674699,0.2385542168674699
6,4,0.2385542168674699,0.2385542168674699
6,5,0.2385542168674699,0.2385542168674699
6,6,0.2385542168674699,0.2385542168674699
6,7,0.2385542168674699,0.2385542168674699
6,8,0.2385542168674699,0.2385542168674699
6,9,0.2385542168674699,0.2385542168674699
7,0,1.0078740157480315,1.0078740157480315
7,1,1.0078740157480315,1.0078740157480315
7,2,1.0078740157480315,1.0078740157480315
7,3,1.0078740157480315,1.0078740157480315
7,4,1.0078740157480315,1.0078740157480315
7,5,1.0078740157480315,1.0078740157480315
7,6,1.0078740157480315,1.0078740157480315
7,7,1.0078740157480315,1.0078740157480315
7,8,1.0078740157480315,1.0078740157480315
7,9,1.0078740157480315,1.0078740157480315
8,0,0.2607003891050584,0.2454212454212454
8,1,0.2454212454212454,0.2454212454212454
8,2,0.2454212454212454,0.2454212454212454
8,3,0.2454212454212454,0.2454212454212454
8,4,0.2454212454212454,0.2454212454212454
8,5,0.2607003891050584,0.2454212454212454
8,6,0.2454212454212454,0.2454212454212454
8,7,0.2454212454212454,0.2454212454212454
8,8,0.2454212454212454,0.2454212454212454
8,9,0.2454212454212454,0.2454212454212454
