ds_id,it_id,mypso_pre_time,mypso_post_time,mypso_total_time,mypso_span,ndpso_total_time,ndpso_span,impr_per
1598,9,12364,0,12364,"29.521531100478466 ",8300,"20.864864864864867 ",-29.32322922598448
1599,0,10939,0,10939,"15.679802955665025 ",8737,"13.550561797752811 ",-13.579514767709059
1599,1,10881,0,10881,"19.714285714285715 ",8646,"13.502808988764045 ",-31.507490636704123
1599,2,10359,0,10359,"18.70197044334975 ",8666,"13.768472906403941 ",-26.379560121164218
1599,3,11626,0,11626,"15.679802955665025 ",8659,"13.556485355648535 ",-13.54173650026225
1599,4,11333,0,11333,"17.795566502463057 ",8792,"13.564853556485357 ",-23.773971710269148
1599,5,12991,0,12991,"15.679245283018869 ",8519,"13.535849056603775 ",-13.670276774969912
1599,6,12090,0,12090,"14.061797752808989 ",8554,"13.518828451882845 ",-3.8613078531703398
1599,7,11434,0,11434,"15.679245283018869 ",8761,"13.422131147540984 ",-14.395553451302993
1599,8,11196,0,11196,"14.05911330049261 ",8580,"13.52808988764045 ",-3.777076132059868
1599,9,10440,0,10440,"15.682266009852215 ",8601,"13.849056603773587 ",-11.689697170848488
1600,0,11929,0,11929,"47.919642857142854 ",8343,"49.14925373134329 ",2.501789510216502
1600,1,11823,0,11823,"57.345238095238095 ",8495,"50.18181818181818 ",-12.491743257780213
1600,2,10670,0,10670,"74.13207547169813 ",8426,"48.471698113207545 ",-34.61440570119625
1600,3,15363,0,15363,"59.80612244897959 ",8463,"49.0 ",-18.068588977990103
1600,4,11173,0,11173,"63.719626168224295 ",8323,"50.074766355140184 ",-21.41390437078322
1600,5,11090,0,11090,"61.867346938775505 ",8343,"49.482142857142854 ",-20.018967507834404
1600,6,11127,0,11127,"64.92537313432835 ",8359,"49.60377358490566 ",-23.59878551290392
1600,7,10249,0,10249,"61.905660377358494 ",8323,"49.45535714285715 ",-20.11173640440631
1600,8,10424,0,10424,"59.794642857142854 ",8357,"49.22727272727273 ",-17.67277071144474
1600,9,12338,0,12338,"52.83035714285714 ",8382,"50.272727272727266 ",-4.841212530920158
1601,0,11728,0,11728,"26.92517006802721 ",8190,"25.704697986577184 ",-4.532829610236329
1601,1,12558,0,12558,"25.179310344827584 ",8170,"25.72156862745098 ",2.1081851207343534
1601,2,12045,0,12045,"30.952380952380953 ",8304,"26.414965986394556 ",-14.659340659340666
1601,3,10681,0,10681,"28.765517241379307 ",8349,"26.17391304347826 ",-9.0094128193635
1601,4,11411,0,11411,"25.677042801556418 ",8213,"26.024691358024693 ",1.3358412274160487
1601,5,11562,0,11562,"30.289655172413795 ",8276,"25.591836734693878 ",-15.50964648154344
1601,6,12060,0,12060,"25.666666666666664 ",8341,"25.739299610894946 ",0.2821869488536421
1601,7,12471,0,12471,"32.89655172413792 ",8319,"25.78988326848249 ",-21.6030802111119
