ds_id,it_id,mypso_pre_time,mypso_post_time,mypso_total_time,mypso_span,ndpso_total_time,ndpso_span,impr_per
7056,7,735,0,735,"2.4513274336283186 ",405,"2.4513274336283186 ",0
7056,8,755,0,755,"2.4513274336283186 ",402,"2.4513274336283186 ",0
7056,9,725,0,725,"2.4513274336283186 ",543,"2.4513274336283186 ",0
7291,0,1795,0,1795,"0.968503937007874 ",1060,"0.968503937007874 ",0
7291,1,1493,0,1493,"0.968503937007874 ",1122,"0.968503937007874 ",0
7291,2,1497,0,1497,"1.1388888888888888 ",968,"0.968503937007874 ",-14.960629921259844
7291,3,1766,0,1766,"3.5882352941176467 ",1214,"1.1388888888888888 ",-68.26047358834244
7291,4,1524,0,1524,"1.1388888888888888 ",1071,"1.1388888888888888 ",0
7291,5,1540,0,1540,"1.04 ",974,"0.968503937007874 ",-6.874621441550584
7291,6,1572,0,1572,"0.968503937007874 ",1386,"1.1495327102803738 ",15.748031496062998
7291,7,2028,0,2028,"0.968503937007874 ",1013,"0.968503937007874 ",0
7291,8,1486,0,1486,"1.1388888888888888 ",1280,"1.1388888888888888 ",0
7291,9,1544,0,1544,"1.0555555555555556 ",1147,"0.968503937007874 ",-8.246995441359312
7292,0,1480,0,1480,"0.5950413223140496 ",1002,"0.5165289256198347 ",-13.194444444444455
7292,1,1546,0,1546,"0.7933884297520661 ",1290,"0.5165289256198347 ",-34.89583333333334
7292,2,1416,0,1416,"0.5581395348837209 ",1314,"0.5165289256198347 ",-7.455234159779622
7292,3,1520,0,1520,"0.5266457680250783 ",991,"0.5266457680250783 ",0
7292,4,1453,0,1453,"0.5581395348837209 ",992,"0.5405405405405406 ",-3.1531531531531467
7292,5,1567,0,1567,"0.5581395348837209 ",1199,"0.5579937304075235 ",-0.026123301985365072
7292,6,1523,0,1523,"0.5382059800664452 ",975,"0.5165289256198347 ",-4.027650239771457
7292,7,1394,0,1394,"0.7603305785123966 ",979,"0.5165289256198347 ",-32.065217391304344
7292,8,1557,0,1557,"0.5266457680250783 ",1047,"0.5454545454545454 ",3.4482758620689635
7292,9,1378,0,1378,"0.5382059800664452 ",980,"0.5579937304075235 ",3.54623166224944
7293,0,1533,0,1533,"0.27674418604651163 ",1352,"0.27674418604651163 ",0
7293,1,1677,0,1677,"0.27674418604651163 ",964,"0.3005050505050505 ",7.906976744186044
7293,2,1624,0,1624,"0.27674418604651163 ",1163,"0.3005050505050505 ",7.906976744186044
7293,3,1698,0,1698,"0.27674418604651163 ",1110,"0.27692307692307694 ",0.06459948320413879
7293,4,1698,0,1698,"0.29545454545454547 ",1000,"0.27674418604651163 ",-6.332737030411454
7293,5,2579,0,2579,"0.27674418604651163 ",1011,"0.27674418604651163 ",0
7293,6,1839,0,1839,"0.29457364341085274 ",1132,"0.3125 ",5.736434108527124
7293,7,2546,0,2546,"0.27674418604651163 ",952,"0.27674418604651163 ",0
7293,8,1507,0,1507,"0.27674418604651163 ",1070,"0.27674418604651163 ",0
7293,9,1538,0,1538,"0.29545454545454547 ",1031,"0.27674418604651163 ",-6.332737030411454
7294,0,2155,0,2155,"1.144578313253012 ",1078,"1.144578313253012 ",0
7294,1,1560,0,1560,"1.144578313253012 ",1299,"1.376 ",16.818436536845045
7294,2,1583,0,1583,"1.144578313253012 ",949,"1.144578313253012 ",0
7294,3,1601,0,1601,"1.144578313253012 ",1184,"1.376 ",16.818436536845045
7294,4,2045,0,2045,"1.144578313253012 ",1290,"1.25 ",8.433734939759034
7294,5,2578,0,2578,"1.144578313253012 ",1131,"1.144578313253012 ",0
7294,6,1448,0,1448,"1.3157894736842104 ",1372,"1.144578313253012 ",-13.012048192771076
7294,7,1684,0,1684,"1.144578313253012 ",1133,"1.376 ",16.818436536845045
7294,8,2469,0,2469,"1.144578313253012 ",1031,"1.25 ",8.433734939759034
7294,9,2034,0,2034,"1.144578313253012 ",1070,"1.144578313253012 ",0
7295,0,1375,0,1375,"1.1443298969072164 ",974,"1.1443298969072164 ",0
7295,1,2281,0,2281,"2.3821989528795813 ",961,"1.2282958199356913 ",-48.438571075227024
7295,2,1596,0,1596,"1.1443298969072164 ",1210,"1.2282958199356913 ",6.835969126140229
7295,3,1366,0,1366,"1.2282958199356913 ",1106,"1.3762057877813505 ",10.747663551401875
7295,4,1345,0,1345,"1.2282958199356913 ",1055,"1.2356020942408377 ",0.5913128780860019
7295,5,1844,0,1844,"1.1443298969072164 ",1058,"1.1443298969072164 ",0
7295,6,1971,0,1971,"1.2282958199356913 ",1099,"1.1443298969072164 ",-6.835969126140229
7295,7,1569,0,1569,"3.6307692307692307 ",1105,"1.2282958199356913 ",-66.16981851872036
7295,8,1433,0,1433,"1.1443298969072164 ",1166,"1.2356020942408377 ",7.38686003844138
7295,9,1671,0,1671,"1.1443298969072164 ",966,"1.1443298969072164 ",0
7296,0,1420,0,1420,"0.7439024390243902 ",1007,"0.7439024390243902 ",0
7296,1,1418,0,1418,"0.8181818181818181 ",1240,"0.7916666666666666 ",-3.240740740740738
7296,2,1601,0,1601,"0.8181818181818181 ",1283,"0.7532467532467533 ",-7.936507936507926
7296,3,1708,0,1708,"0.7204724409448819 ",1348,"0.8194444444444444 ",12.0779394101161
7296,4,1491,0,1491,"0.7204724409448819 ",1293,"0.7439024390243902 ",3.1496062992125906
7296,5,1638,0,1638,"0.7204724409448819 ",1137,"0.7480314960629921 ",3.6842105263157827
7296,6,1712,0,1712,"0.7204724409448819 ",981,"0.8292011019283747 ",13.112459779736835
7296,7,1474,0,1474,"0.7204724409448819 ",1129,"0.7439024390243902 ",3.1496062992125906
7296,8,1459,0,1459,"0.7204724409448819 ",971,"0.7480314960629921 ",3.6842105263157827
7296,9,2213,0,2213,"0.7439024390243902 ",1360,"0.7480314960629921 ",0.5519897304236212
7297,0,1564,0,1564,"2.898876404494382 ",1392,"2.898876404494382 ",0
7297,1,1874,0,1874,"2.898876404494382 ",1043,"2.898876404494382 ",0
7297,2,1510,0,1510,"2.898876404494382 ",1197,"2.898876404494382 ",0
7297,3,1783,0,1783,"2.898876404494382 ",1387,"3.185185185185185 ",8.988764044943819
7297,4,1468,0,1468,"3.2658227848101267 ",1382,"2.898876404494382 ",-11.235955056179778
7297,5,1452,0,1452,"3.185185185185185 ",1006,"2.898876404494382 ",-8.988764044943819
