#id,fairspan_max_span,ndpso_avg_max_span,ndpso_min_max_span,ndpso_max_max_span,fairspan_total_time,ndpso_avg_pre_time,ndpso_min_pre_time,ndpso_max_pre_time,ndpso_avg_post_time,ndpso_min_post_time,ndpso_max_post_time,ndpso_avg_total_time,ndpso_amin_total_time,ndpso_max_total_time
6835,201.3333333333,155.9,140.3333333333,176.3333333333,0,3179.8,2989,4491,0,0,0,3179.8,2989,4491
6836,143.1818181818,141.204040404,134.4545454545,150.75,0,2948.5,2918,2983,0,0,0,2948.5,2918,2983
6837,97.2666666667,84.5233333333,100.2,86.6,0,3020.4,2971,3049,0,0,0,3020.4,2971,3049
6838,429.2,379.58,347.8,450.5,1,2992.1,2913,3068,0,0,0,2992.1,2913,3068
6839,122.25,115.0036363636,105.6363636364,123.8,0,3252.9,2959,4627,0,0,0,3252.9,2959,4627
6840,113,112.1836287079,102,123.625,0,2969.7,2930,3021,0.1,0,1,2969.8,2930,3021
6841,50.8,59.205,50.8,74.5,0,4470.5,4056,4854,0,0,0,4470.5,4056,4854
6842,36,38.9357142857,32,48,0,4522.4,4124,6204,0,0,0,4522.4,4124,6204
6843,20,23.6748773449,20.8,27.4545454545,0,4340.1,4133,4624,0,0,0,4340.1,4133,4624
6844,119.6,147.8,131.5,172.3333333333,0,4629.7,4344,4778,0,0,0,4629.7,4344,4778
6845,65.375,68.4269444444,60,74.7142857143,0,4543.5,4321,4766,0,0,0,4543.5,4321,4766
6846,36.1538461538,38.1691367456,33.9090909091,43.8333333333,0,4818.3,4327,7061,0,0,0,4818.3,4327,7061
6847,163.4,179.9533333333,163.4,201.3333333333,0,4572.6,4361,4811,0,0,0,4572.6,4361,4811
6848,104.125,115.5803174603,104.125,98.8888888889,1,4314.6,4167,4433,0,0,0,4314.6,4167,4433
6849,53.5294117647,53.3350326797,50.5555555556,57.5333333333,0,4593.8,4069,5997,0,0,0,4593.8,4069,5997
6850,66.5,60.415,53.2,66.5,0,4206.6,3755,6199,0,0,0,4206.6,3755,6199
6851,30.4,30.0880808081,27.6363636364,31.3333333333,0,4588,3922,6610,0,0,0,4588,3922,6610
6852,23.5,22.2086313686,18.7142857143,26.2,0,4125.7,3992,4258,0,0,0,4125.7,3992,4258
6853,151.25,146.38,121,172.8,0,3946.3,3836,4357,0,0,0,3946.3,3836,4357
6854,76.2727272727,71.1941738817,63.7777777778,75.1428571429,1,3978.5,3796,4092,0,0,0,3978.5,3796,4092
6855,37.5,39.0709451659,36,45.9090909091,0,4117.5,3878,4366,0,0,0,4117.5,3878,4366
6856,218.5,207.675,176.25,218.5,0,4380.2,3988,5783,0,0,0,4380.2,3988,5783
6857,94.875,92.5807142857,102.6,94.875,1,4162.2,3825,6466,0,0,0,4162.2,3825,6466
6858,51.875,49.0029411765,47.7222222222,55.3333333333,0,3962.2,3714,4107,0,0,0,3962.2,3714,4107
6859,247.8,243.72,237.6,254,0,5273.5,5249,5295,0,0,0,5273.5,5249,5295
6860,172,169.5666666667,165.6666666667,171.8333333333,0,5263.7,5214,5302,0,0,0,5263.7,5214,5302
6861,137.9375,137.4544642857,132.8125,142.6875,0,5466.6,5216,7481,0,0,0,5466.6,5216,7481
6862,477.75,468.8,462.5,479,0,5295.4,5262,5328,0,0,0,5295.4,5262,5328
6863,268,271.4,263,284.3333333333,0,5237.2,5175,5371,0,0,0,5237.2,5175,5371
6864,166.9444444444,166.5025641026,163.25,171.2777777778,0,5341.7,5309,5437,0.1,0,1,5341.8,5309,5437
6865,1110.4,1118.82,1098.2,1131,0,5229.1,5183,5274,0,0,0,5229.1,5183,5274
6866,320,325.2511111111,318,332.25,0,5416.4,5166,7372,0,0,0,5416.4,5166,7372
6867,232.8666666667,230.2708140226,226.4545454545,234.1176470588,0,5237.6,5206,5285,0,0,0,5237.6,5206,5285
6868,84.2,87.61,73.25,97.6666666667,0,7894.9,7585,8072,0,0,0,7894.9,7585,8072
6869,50,49.8658333333,44.375,58.75,0,8180.2,7899,8395,0,0,0,8180.2,7899,8395
6870,29.5,27.2468523144,23.6153846154,30.7,1,8388.1,7790,8734,0,0,0,8388.1,7790,8734
6871,167.75,173.5333333333,148.6,189.6666666667,0,9196.2,8039,13276,0,0,0,9196.2,8039,13276
6872,75.1666666667,88.650465368,101.8,99.7272727273,0,8008.2,7658,8516,0,0,0,8008.2,7658,8516
6873,54.1333333333,53.1813419913,46.25,65.2222222222,1,9610.1,7773,12951,0,0,0,9610.1,7773,12951
6874,193.75,222.6083333333,194.75,255.5,0,9182.2,8068,12984,0,0,0,9182.2,8068,12984
6875,125.8181818182,125.0648629149,119,139.75,0,8837.7,7864,13461,0.1,0,1,8837.8,7864,13462
6876,84.625,78.8701298701,64.2857142857,97.0909090909,1,9467.8,7918,13117,0,0,0,9467.8,7918,13117
6877,83.6,74.23,59.8,92,0,8747.5,7633,12376,0,0,0,8747.5,7633,12376
6878,41.3333333333,45.5644444444,35.5,58,0,8565.4,7673,13497,0,0,0,8565.4,7673,13497
6879,22.1875,21.4056547619,17.1875,27.1818181818,0,7941.5,7431,8228,0,0,0,7941.5,7431,8228
6880,172,162.5583333333,137.3333333333,199.3333333333,0,8053.5,7738,8192,0,0,0,8053.5,7738,8192
6881,76.4285714286,83.4242171717,72.1818181818,99.3,0,8222.6,7893,9002,0,0,0,8222.6,7893,9002
6882,53.1176470588,51.1598701299,44.8571428571,58.9,0,8467.8,7933,10695,0,0,0,8467.8,7933,10695
6883,266.6666666667,242.0133333333,211,266.6666666667,0,8124,7771,8416,0,0,0,8124,7771,8416
6884,138.8888888889,142.7918181818,132.4,164.2,0,7903.9,7708,8103,0.1,0,1,7904,7709,8103
6885,70.2142857143,74.9034199134,68.4666666667,83.2,0,8522.5,7745,11487,0,0,0,8522.5,7745,11487
6886,0.6232876712,0.6232876712,0.6232876712,0.6232876712,0,523.3,517,553,0,0,0,523.3,517,553
6887,0.2903225806,0.2032258065,0.2032258065,0.2032258065,0,507,502,531,0,0,0,507,502,531
6888,0.1459854015,0.1428571429,0.1428571429,0.1428571429,0,516,507,525,0,0,0,516,507,525
6889,0.5873015873,0.524822695,0.524822695,0.524822695,0,510.2,494,525,0,0,0,510.2,494,525
6890,0.41015625,0.3888888889,0.3888888889,0.3888888889,0,587.7,501,780,0,0,0,587.7,501,780
6891,0.3596938776,0.2868404118,0.2678571429,0.3153153153,0,517.9,508,529,0,0,0,517.9,508,529
6892,1.4159292035,1.1775641434,1.1510791367,1.4159292035,0,515.2,507,527,0,0,0,515.2,507,527
6893,0.7203947368,0.7203947368,0.7203947368,0.7203947368,0,523.6,520,529,0,0,0,523.6,520,529
6894,0.6294416244,0.4796954315,0.4796954315,0.4796954315,0,501.2,499,506,0,0,0,501.2,499,506
6895,0.1847133758,0.1847133758,0.1847133758,0.1847133758,0,747.1,726,775,0,0,0,747.1,726,775
6896,0.2053872054,0.2040133779,0.2040133779,0.2040133779,0,739,709,769,0,0,0,739,709,769
6897,0.0505263158,0.0518907965,0.0505263158,0.064171123,0,790.2,729,1096,0,0,0,790.2,729,1096
6898,1.0588235294,1.0647058824,1.0588235294,1.068627451,0,746.6,722,763,0,0,0,746.6,722,763
6899,0.4070512821,0.4112224789,0.4070512821,0.4487632509,0,751.6,727,785,0,0,0,751.6,727,785
6900,0.1887323944,0.1887323944,0.1887323944,0.1887323944,0,752.8,690,1083,0,0,0,752.8,690,1083
6901,1.1914893617,1.2100453436,1.1914893617,1.3770491803,0,742,730,771,0,0,0,742,730,771
6902,0.6241134752,0.6089965398,0.6089965398,0.6089965398,0,773.4,747,798,0,0,0,773.4,747,798
6903,0.4065656566,0.4065656566,0.4065656566,0.4065656566,0,747.9,724,781,0,0,0,747.9,724,781
6904,0.3486842105,0.3493862593,0.3486842105,0.355704698,0,801.5,753,874,0,0,0,801.5,753,874
