dataset_conf_id,iter_no,time,span
1,0,2,0.3333333333333333
2,0,1,0.14336917562724014
3,0,0,0.03155339805825243
4,0,1,0.5955882352941176
5,0,0,0.2915129151291513
6,0,0,0.2385542168674699
7,0,0,1.0078740157480315
8,0,0,0.2454212454212454
9,0,0,0.04878048780487805
10,0,1,0.3695652173913043
11,0,1,0.03018867924528302
12,0,0,0.04285714285714286
13,0,0,0.6592592592592592
14,0,0,0.46311475409836067
15,0,1,0.3365617433414044
16,0,0,1.648
17,0,0,0.7463768115942029
18,0,0,0.25476190476190474
19,0,0,0.36496350364963503
20,0,0,0.06474820143884892
21,0,0,0.13170731707317074
22,0,1,0.6861313868613139
23,0,0,0.14336917562724014
24,0,1,0.2725060827250608
25,0,0,1.0364963503649636
26,0,0,0.48028673835125446
27,0,0,0.12949640287769784
28,0,0,0.45112781954887216
29,0,0,0.28163265306122454
30,0,0,0.21100917431192662
31,0,0,1.18348623853211
32,0,0,0.5202952029520295
33,0,0,0.3559322033898305
34,0,0,0.9618320610687023
35,0,0,0.7851851851851852
36,0,1,0.3763440860215054
37,0,1,0.3237410071942446
38,0,0,0.21739130434782608
39,0,0,0.08801955990220049
40,0,1,0.4782608695652174
41,0,1,0.35611510791366907
42,0,1,0.31742243436754175
43,0,0,1.2446043165467626
44,0,0,0.7184115523465704
45,0,0,0.3595238095238095
46,0,1,0.46715328467153283
47,0,0,0.16129032258064516
48,0,1,0.11455847255369929
49,0,1,0.45925925925925926
50,0,1,0.5018050541516246
51,0,1,0.20240963855421687
52,0,0,1.3669064748201438
53,0,1,0.572463768115942
54,0,0,0.40240963855421685
55,0,0,0.5213675213675214
56,0,0,0.3033175355450237
57,0,0,0.10617283950617284
58,0,1,0.9126984126984127
59,0,0,0.5251141552511416
60,0,0,0.3884297520661157
61,0,0,1.7317073170731707
62,0,0,0.8117154811715481
63,0,1,0.5
64,0,1,0.49640287769784175
65,0,1,0.250936329588015
66,0,0,0.1073170731707317
67,0,1,0.8120300751879699
68,0,1,0.26881720430107525
69,0,1,0.3479381443298969
70,0,1,1.3043478260869565
71,0,0,0.6959706959706959
72,0,0,0.4400977995110024
73,0,1,0.30597014925373134
74,0,1,0.2564102564102564
75,0,1,0.16966580976863754
76,0,1,1.0303030303030303
77,0,1,0.3308550185873606
78,0,1,0.2804878048780488
79,0,0,1.2426470588235294
80,0,1,0.7634408602150538
81,0,1,0.3316708229426434
91,0,0,2.6030927835051547
92,0,0,0.9536178107606679
93,0,1,0.7582822085889571
94,0,0,5.344444444444445
95,0,1,2.0804289544235925
96,0,0,1.4747474747474747
97,0,0,8.21860465116279
98,0,1,1.0983981693363845
99,0,0,2.0284900284900282
100,0,0,1.8612244897959185
101,0,0,0.7217391304347827
102,0,0,0.6307922272047833
103,0,0,3.3614035087719296
104,0,0,1.3230174081237913
105,0,0,1.5078125
106,0,0,5.794520547945206
107,0,0,1.8906250000000002
108,0,0,1.2258543833580982
109,0,1,8.8125
110,0,0,3.335766423357664
111,0,0,2.8284182305630026
112,0,0,19.668711656441722
113,0,0,46.805555555555564
114,0,0,10.26962457337884
115,0,0,41.41071428571429
116,0,0,15.267499999999998
117,0,0,12.596205962059623
118,0,0,4.014084507042253
119,0,0,1.4357976653696498
120,0,0,0.8311855670103092
121,0,0,4.157142857142857
122,0,0,3.3200000000000003
123,0,1,1.704946996466431
124,0,1,7.94170403587444
125,0,0,3.3776223776223775
126,0,0,3.894289185905225
127,0,1,2.5229681978798584
