dataset_conf_id,ndpso_avg_time,ndpso_avg_map_time,ndpso_avg_span,ndpso_avg_start_conv_iter,ndpso_avg_end_conv_iter,ndpso_avg_time_per_loop,ndpso_avg_min_time_to_conv,sfms_span,sfms_time,span_impr_perc_avg,time_impr_perc_avg,time_impr_perc_min_conv_avg,time_span_90_10,time_span_80_20,time_span_70_30,time_span_60_40,time_span_50_50,time_span_40_60,time_span_30_70,time_span_20_80,time_span_10_90,time_span_min_conv_90_10,time_span_min_conv_80_20,time_span_min_conv_70_30,time_span_min_conv_60_40,time_span_min_conv_50_50,time_span_min_conv_40_60,time_span_min_conv_30_70,time_span_min_conv_20_80,time_span_min_conv_10_90
21,40.8000,0.0000,0.13170731707317077,0.0000,100.0000,0.40800000,0.40800000,0.13170731707317077,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
22,38.9000,0.0000,0.686131386861314,0.0000,100.0000,0.38900000,0.38900000,0.686131386861314,1.0000,0,97.42782000,-100.00000000,87.685038,77.942256,68.199474,58.456692,48.71391,38.971128,29.228346,19.485564,9.742782,-90,-80,-70,-60,-50,-40,-30,-20,-10
23,39.6000,0.0000,0.14336917562724014,0.0000,100.0000,0.39600000,0.39600000,0.14336917562724014,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
24,40.2000,0.0000,0.2725060827250609,0.0000,100.0000,0.40200000,0.40200000,0.2725060827250609,1.0000,0,97.50321000,-100.00000000,87.752889,78.002568,68.252247,58.501926,48.751605,39.001284,29.250963,19.500642,9.750321,-90,-80,-70,-60,-50,-40,-30,-20,-10
25,35.0000,0.0000,1.0364963503649636,0.0000,100.0000,0.35000000,0.35000000,1.0364963503649636,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
26,37.0000,0.0000,0.48028673835125446,0.0000,100.0000,0.37000000,0.37000000,0.48028673835125446,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
27,44.1000,0.0000,0.12949640287769787,0.0000,100.0000,0.44100000,0.44100000,0.12949640287769787,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
28,13.4000,0.0000,0.45112781954887204,0.0000,100.0000,0.13400000,0.13400000,0.45112781954887204,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
29,14.9000,0.0000,0.2641509433962264,0.0000,100.0000,0.14900000,0.14900000,0.2816326530612246,0.0000,-6.207273721629767,100.00000000,0.00000000,89.37927262783703,78.75854525567405,68.13781788351108,57.517090511348094,46.89636313918512,36.27563576702214,25.654908394859163,15.034181022696185,4.413453650533209,-0.6207273721629768,-1.2414547443259536,-1.86218211648893,-2.482909488651907,-3.1036368608148837,-3.72436423297786,-4.345091605140837,-4.965818977303814,-5.586546349466791
30,14.2000,0.0000,0.18351063829787237,0.0000,100.0000,0.14200000,0.14200000,0.21100917431192662,0.0000,-13.031914893617024,100.00000000,0.00000000,88.69680851063829,77.3936170212766,66.09042553191489,54.78723404255319,43.484042553191486,32.180851063829785,20.877659574468083,9.57446808510638,-1.728723404255323,-1.3031914893617025,-2.606382978723405,-3.9095744680851072,-5.21276595744681,-6.515957446808512,-7.8191489361702144,-9.122340425531917,-10.42553191489362,-11.728723404255323
