#dataset_conf_id,mypso_max_span,ndpso_max_span
3633,8.95505617977528,46.333333333333336
3634,200.962962962963,294.25
3636,12.598591549295774,24.825581395348838
3638,41.095238095238095,44.2
3639,26.897435897435894,109.5
3640,35.78571428571429,102.5
3642,7.557046979865771,12.557142857142857
3643,467,527
3645,55.33333333333333,73.88888888888889
3654,1.7619047619047619,1.844311377245509
3673,13.260869565217392,17.630434782608695
3674,9.798387096774194,27.77777777777778
3675,3.860103626943005,8.607843137254902
3676,14.018867924528301,25.822222222222223
3677,14.715328467153284,47.38461538461539
3678,10.386666666666668,12.717391304347826
3679,44.510204081632644,270.6666666666667
3680,35.34426229508197,87.23076923076923
3681,32.42857142857143,46.08108108108108
3684,34.33333333333333,37.666666666666664
3700,21.735294117647058,58.333333333333336
3701,11.12295081967213,25.093023255813957
3702,6.9907407407407405,13.282051282051281
3703,53.545454545454554,117
3704,20.921875,45.909090909090914
3705,16.542372881355934,45.54545454545455
3706,538,1309
3707,43.1868131868132,109.88235294117645
3708,19.999999999999996,43.18571428571428
3727,0.6290322580645161,0.6290322580645161
3728,0.08695652173913043,0.08695652173913043
3729,0.09701492537313433,0.09701492537313433
3730,0.3764705882352941,0.3764705882352941
3731,1.1450381679389312,1.1450381679389312
3732,0.1855287569573284,0.1855287569573284
3733,1.0857142857142856,1.0857142857142856
3734,0.5109717868338558,0.5109717868338558
3735,0.21957671957671956,0.21957671957671956
3754,0.3977272727272727,0.7916666666666667
3755,0.6537313432835822,1
3808,20.83050847457627,60.5
3809,8.05607476635514,15.18918918918919
3810,19.22279792746114,99
3811,19.930232558139533,40.96153846153847
3814,43.94339622641509,62.4
3816,21.10924369747899,60.94117647058823
3836,10.973684210526313,19.153846153846153
3839,18.56164383561644,25.903225806451616
3841,74.52272727272728,81.41176470588236
3865,126.44827586206895,278.16666666666663
3870,56.403669724770644,80.79166666666667
3889,1.046218487394958,1.046218487394958
3890,0.511578947368421,0.511578947368421
3891,0.25080906148867316,0.25080906148867316
3892,4.5,4.5
3893,1.7604166666666667,1.7604166666666667
3894,0.714765100671141,0.714765100671141
3895,5.356521739130435,5.356521739130435
3896,1.6367521367521367,1.6367521367521367
3897,0.7633410672853829,0.7633410672853829
3898,0.21367521367521367,0.21367521367521367
3899,0.5460526315789473,0.5460526315789473
3904,2.9298245614035086,2.9298245614035086
3905,0.855072463768116,0.855072463768116
3909,0.20408163265306123,0.20408163265306123
3911,0.9957264957264957,0.9957264957264957
3916,5.352941176470587,7.848684210526315
3917,4.211480362537764,7.096
3918,2.2144144144144144,3.662745098039215
3919,18.08677685950413,47.03571428571429
3920,8.575280898876406,22.426229508196723
3921,4.813807531380754,14.201612903225808
3922,27.04123711340206,56.26829268292683
3923,7.121527777777778,12.840277777777779
3924,11.676258992805757,17.20503597122302
3925,18,19.2
3927,5.121951219512194,11.26086956521739
3928,31.53846153846154,31.653846153846153
3929,2.461697722567288,6.1916167664670665
3930,3.78858024691358,5.426229508196721
3933,2.8049645390070923,7.767195767195767
3939,13.066666666666668,19.48
3943,15.435684647302903,58.285714285714285
3944,3.3536299765807955,5.38974358974359
3945,2.1466083150984683,3.49264705882353
3946,17.28666666666667,53.19047619047619
3947,7.213709677419355,18.225806451612904
3948,3.5231316725978643,10.11214953271028
3949,19.155172413793103,44.583333333333336
3950,10.791666666666666,24.340425531914896
3951,7.10732538330494,14.38888888888889
3952,91.54054054054056,107
3953,9.20797720797721,10.636363636363637
3957,3.030063291139241,4.794520547945205
3959,6.156941649899397,18.96875
3970,28.5,99.85714285714286
3971,18.5974025974026,51.5
3972,15.374999999999998,70.19999999999999
3973,39.23809523809524,93.52941176470588
3974,29.661538461538463,50.32786885245901
3975,17.612903225806452,37.725806451612904
3976,96.80952380952381,164.76190476190476
3977,24.736363636363635,38.68181818181818
3978,18.143835616438356,92.63157894736842
3997,21.17910447761194,58.05882352941177
3998,16.547619047619047,26.23529411764706
3999,8.137755102040815,19.195121951219512
4000,78.70370370370371,183
4001,21.916666666666668,65.97058823529412
4002,30.81818181818182,65.94117647058823
4003,67.82539682539682,105.45161290322581
4004,62.68032786885245,331.25
4005,23.158273381294965,52.830769230769235
4026,63.470588235294116,92
4027,76.70175438596492,137.36363636363637
4028,28.975308641975307,52.82142857142858
4029,121.6,256.5
4030,256,489.5
4031,69.82727272727273,113.08
4032,39.016666666666666,119.5
4051,0.16901408450704225,0.2535211267605634
4052,0.1794871794871795,0.2692307692307692
4053,0.23484848484848483,0.31632653061224486
4054,0.5978260869565217,0.8695652173913044
4055,0.3216783216783217,0.4265734265734266
4056,0.25149700598802394,0.3116883116883117
4057,0.7571428571428572,0.8642857142857143
4058,0.3321167883211678,0.4765625
4059,0.88268156424581,6.285714285714286
4065,0.046065259117082535,0.08333333333333333
4079,1.6956521739130435,1.6956521739130437
4080,0.5999999999999995,0.5999999999999996
4081,37.24999999999999,37.25
4083,1.4625850340136046,1.4625850340136053
4084,5.7421875,5.7421875
4085,3.6847826086956523,3.6847826086956528
4086,3.6733668341708525,3.6733668341708534
4097,0.2701421800947867,0.2857142857142857
4102,8.953125,12.5
4105,3.211538461538457,3.2115384615384586
4106,2.292035398230088,2.292035398230089
4108,10.631578947368418,10.631578947368421
4109,6.593406593406584,6.59340659340659
4113,2.643076923076922,2.643076923076922
4123,0.3128834355828221,0.43333333333333335
4126,0.68503937007874,0.9452054794520548
4128,0.21311475409836064,0.3384615384615385
4132,2.6363636363636362,2.6363636363636362
4133,0.6470588235294118,0.6470588235294118
4134,2.0689655172413794,2.0689655172413794
4135,0.16666666666666666,0.16666666666666666
4136,53.666666666666664,53.666666666666664
4137,5.266666666666667,5.266666666666667
4138,19,19
4139,221,221
4140,1.3571428571428572,1.3571428571428572
4141,9.153846153846153,9.153846153846153
4142,1.25,1.25
4143,0.8780487804878049,0.8780487804878049
4144,35.142857142857146,35.142857142857146
4145,13.529411764705882,13.529411764705882
4146,1.5526315789473684,1.5526315789473684
4147,1,1
4148,4.555555555555555,4.555555555555555
4149,13.25,13.25
4150,5.444444444444445,5.444444444444445
4151,5.55,5.55
4152,2.225806451612903,2.225806451612903
4153,5.076923076923077,5.076923076923077
4154,7.6875,7.6875
4155,2.289473684210526,2.289473684210526
4156,26.384615384615383,26.384615384615383
4157,16.96153846153846,16.96153846153846
4158,10.3,10.3
4159,2.888888888888889,2.888888888888889
4160,2,2
4161,3.8,3.8
4162,9.2,9.2
4163,16.5,16.5
4164,8.28125,8.28125
4165,16.77777777777778,16.77777777777778
4166,10.470588235294118,10.470588235294118
4167,5.17948717948718,5.17948717948718
4168,6.538461538461538,6.538461538461538
4169,1.619047619047619,1.619047619047619
4170,5,5
4171,5.333333333333333,5.333333333333333
4172,16.545454545454547,16.545454545454547
4173,6.964285714285714,6.964285714285714
4174,57.75,57.75
4175,46.875,46.875
4176,7.513513513513513,7.513513513513513
4177,16.428571428571427,16.428571428571427
4178,2.3333333333333335,2.3333333333333335
4179,6.333333333333333,6.333333333333333
4180,5.615384615384615,5.615384615384615
4181,12.692307692307692,12.692307692307692
4182,9.2,9.2
4183,14.23076923076923,14.23076923076923
4184,13.166666666666666,13.166666666666666
4185,6.241379310344827,6.241379310344827
4186,9.615384615384615,9.615384615384615
4187,16.166666666666664,16.166666666666664
4188,2.8888888888888893,2.8888888888888893
4189,13.166666666666668,13.166666666666668
4190,10.222222222222221,10.222222222222221
4191,14.61111111111111,14.61111111111111
4192,46.33333333333333,46.33333333333333
4193,78.33333333333333,78.33333333333333
4194,56.25,56.25
4195,25.18181818181818,25.18181818181818
4196,5.571428571428571,5.571428571428571
4197,10.625,10.625
4198,51.5,51.5
4199,5.631578947368421,5.631578947368421
4200,7.363636363636363,7.363636363636363
4201,61.42857142857143,61.42857142857143
4202,19.53846153846154,19.53846153846154
4203,8.763157894736842,8.763157894736842
4204,15.333333333333334,15.333333333333334
4205,34,34
4206,3.533333333333333,3.533333333333333
4207,74.16666666666667,74.16666666666667
4208,13.571428571428571,13.571428571428571
4209,10,10
4210,28,28
4211,39.72222222222223,39.72222222222223
4212,9.23076923076923,9.23076923076923
4213,0.30603448275862066,0.30603448275862066
4214,0.1875,0.1875
4215,0.05377906976744186,0.05377906976744186
4216,1.0494505494505495,1.0494505494505495
4217,0.044186046511627906,0.044186046511627906
4218,0.03473227206946455,0.03473227206946455
4219,1,1
4220,0.29545454545454547,0.29545454545454547
4221,0.3944353518821604,0.3944353518821604
4222,0.2702702702702703,0.2702702702702703
4223,0.07188160676532769,0.07188160676532769
4224,0.09375,0.09375
4225,0.32599118942731276,0.32599118942731276
4226,0.3210412147505423,0.3210412147505423
4227,0.039705882352941174,0.039705882352941174
4228,0.10300429184549356,0.10762331838565023
4229,0.5437100213219617,0.5448717948717948
4230,0.05491329479768786,0.05491329479768786
4231,0.14746543778801843,0.14746543778801843
4232,0.13169642857142858,0.1334841628959276
4233,0.12134502923976608,0.12134502923976608
4234,0.5301724137931034,0.5301724137931034
4235,0.25957446808510637,0.25957446808510637
4236,0.173974540311174,0.173974540311174
4237,0.2510822510822511,0.2510822510822511
4238,0.4711111111111111,0.4711111111111111
4239,0.26945244956772335,0.28419452887537994
4240,1.378787878787879,1.378787878787879
4241,0.30745341614906835,0.30745341614906835
4242,0.10738255033557047,0.10738255033557047
4243,0.32989690721649484,0.32989690721649484
4244,0.18925233644859812,0.18925233644859812
4245,0.05846774193548387,0.05846774193548387
4246,0.30612244897959184,0.30612244897959184
4247,1.6629213483146068,1.6629213483146068
4248,0.33116883116883117,0.33116883116883117
4249,0.4590909090909091,0.4590909090909091
4250,0.10526315789473684,0.10526315789473684
4251,0.055636896046852125,0.055636896046852125
4252,0.6153846153846154,0.6206896551724138
4253,0.015283842794759825,0.015283842794759825
4254,0.09517045454545454,0.09517045454545454
4255,0.4930232558139535,0.5221674876847291
4256,0.6355353075170843,0.6355353075170843
4257,0.29246676514032494,0.29246676514032494
4258,0.2838983050847458,0.2838983050847458
4259,0.04856512141280353,0.04856512141280353
4260,0.035114503816793895,0.03538461538461538
4261,0.4892703862660944,0.5022026431718062
