#dataset_conf_id,iter_no,pso_time,pso_to_task_time,objectives,time,objectives
11,9,20263,0,0.0301886792,1267,0.0301886792
12,0,12432,0,0.1428571429,1332,0.0448877805
12,1,11880,0,0.1208053691,1475,0.0428571429
12,2,11217,0,0.0957446809,1515,0.0428571429
12,3,10947,0,0.1022727273,1405,0.0428571429
12,4,10608,0,0.0652173913,1461,0.0428571429
12,5,11178,0,0.1512605042,1448,0.0428571429
12,6,11401,0,0.1782178218,1468,0.0436893204
12,7,20060,0,0.1022727273,1437,0.0436893204
12,8,18901,0,0.18,1482,0.0428571429
12,9,24538,0,0.0957446809,1444,0.0436893204
13,0,12022,0,1.435483871,1381,0.6691729323
13,1,10703,0,1.3484848485,1338,0.6592592593
13,2,12634,0,1.3484848485,1367,0.6592592593
13,3,11892,0,1.4833333333,1443,0.6592592593
13,4,12629,0,1.3484848485,1443,0.6592592593
13,5,11787,0,1.435483871,1473,0.6592592593
13,6,22353,0,1.0113636364,1328,0.6592592593
13,7,19556,0,0.6846153846,1396,0.6592592593
13,8,24897,0,1.1125,1452,0.6846153846
13,9,24412,0,1.3484848485,1332,0.6592592593
14,0,11537,0,0.9913043478,1399,0.4631147541
14,1,10614,0,0.9913043478,1447,0.4913793103
14,2,10500,0,0.9913043478,1416,0.4672131148
14,3,11085,0,1.1067961165,1376,0.4672131148
14,4,11534,0,1.1176470588,1385,0.4672131148
14,5,12244,0,1.1067961165,1458,0.475
14,6,12350,0,0.7549668874,1467,0.475
14,7,22322,0,0.9913043478,1386,0.4631147541
14,8,19360,0,1.175257732,1412,0.4892703863
14,9,24126,0,1.1078431373,1362,0.4672131148
15,0,11707,0,1.0775193798,1508,0.3365617433
15,1,11925,0,1.0610687023,1541,0.3365617433
15,2,9177,0,1.1779661017,1590,0.3365617433
15,3,10540,0,1.6162790698,1464,0.3365617433
15,4,12542,0,1.6162790698,1487,0.3648293963
15,5,11932,0,2.8367346939,1508,0.3365617433
15,6,12108,0,1.6162790698,1629,0.3365617433
15,7,11847,0,1.5795454545,1472,0.3365617433
15,8,21919,0,1.404040404,1532,0.3483709273
15,9,19737,0,0.7513513514,1529,0.3365617433
16,0,44510,0,7.6296296296,1527,1.648
16,1,43346,0,7.6296296296,1280,1.775862069
16,2,40920,0,8.9565217391,1351,1.6612903226
16,3,43554,0,4.0392156863,1484,1.648
16,4,42982,0,5.0243902439,1370,1.6612903226
16,5,41874,0,6.8666666667,1459,1.648
16,6,44011,0,7.6296296296,1435,1.6612903226
16,7,44093,0,7.6296296296,1404,1.6612903226
16,8,40968,0,6.8666666667,1545,1.648
16,9,26505,0,5.15,1500,1.648
17,0,12450,0,3.3225806452,1478,0.7463768116
17,1,7033,0,2.4819277108,1367,0.7463768116
17,2,7641,0,1.5606060606,1501,0.7463768116
17,3,7690,0,4.4782608696,1384,0.7463768116
17,4,7375,0,3.3225806452,1454,0.7463768116
17,5,7363,0,3.4915254237,1440,0.7463768116
17,6,7358,0,3.4915254237,1400,0.7463768116
17,7,7489,0,3.4915254237,1322,0.7463768116
17,8,6863,0,3.4915254237,1353,0.7463768116
17,9,7395,0,4.0392156863,1368,0.7463768116
18,0,12849,0,0.5,1539,0.2547619048
18,1,7637,0,0.4509803922,1464,0.2547619048
18,2,7892,0,0.4380952381,1514,0.2547619048
18,3,7882,0,0.4367346939,1406,0.2547619048
18,4,7379,0,0.3876811594,1536,0.2547619048
18,5,7946,0,0.4380952381,1453,0.2547619048
18,6,7906,0,0.5,1465,0.2547619048
18,7,7210,0,0.5631578947,1443,0.2547619048
18,8,7929,0,0.4652173913,1539,0.2547619048
18,9,7833,0,0.5194174757,1417,0.2547619048
19,0,16199,0,1,1753,0.3649635036
19,1,11884,0,0.8196721311,1696,0.3649635036
19,2,10349,0,0.9433962264,1597,0.3649635036
19,3,10270,0,0.8620689655,1678,0.3649635036
19,4,10839,0,0.8196721311,1676,0.3649635036
19,5,11402,0,0.8196721311,1732,0.3649635036
19,6,10698,0,0.8196721311,1515,0.3759398496
19,7,11583,0,1.1111111111,1677,0.3759398496
19,8,11857,0,1.0869565217,1597,0.3759398496
19,9,11689,0,1,1679,0.3649635036
20,0,16954,0,0.0983606557,1528,0.0659340659
20,1,12307,0,0.1417322835,1635,0.0659340659
20,2,10192,0,0.1714285714,1537,0.0647482014
20,3,11477,0,0.12,1491,0.0679245283
20,4,10413,0,0.2045454545,1554,0.0659340659
20,5,11794,0,0.1914893617,1646,0.0647482014
20,6,11845,0,0.1186440678,1585,0.0647482014
20,7,12057,0,0.1111111111,1640,0.0659340659
20,8,11140,0,0.1592920354,1664,0.0647482014
20,9,11650,0,0.1666666667,1762,0.0659340659
21,0,17323,0,0.1317073171,1806,0.1317073171
21,1,12677,0,0.1317073171,1819,0.1317073171
21,2,14152,0,0.1413612565,1759,0.1317073171
21,3,11404,0,0.1317073171,1691,0.1317073171
21,4,10801,0,0.1317073171,1655,0.137755102
21,5,11269,0,0.1317073171,1674,0.1317073171
21,6,11253,0,0.1317073171,1702,0.1317073171
21,7,12000,0,0.1317073171,1740,0.1317073171
21,8,11419,0,0.1317073171,1728,0.1374045802
21,9,10609,0,0.1317073171,1729,0.1317073171
22,0,16993,0,1.9183673469,1672,0.6911764706
22,1,11488,0,1.6206896552,1707,0.6861313869
22,2,13392,0,2.2380952381,1634,0.6861313869
22,3,11446,0,4.7,1749,0.6861313869
22,4,10215,0,4.7,1791,0.6861313869
22,5,11481,0,2.1363636364,1621,0.6911764706
22,6,11871,0,3.3571428571,1486,0.7014925373
22,7,10793,0,2.7,1722,0.6861313869
22,8,10122,0,2.8484848485,1551,0.6911764706
22,9,11943,0,2.8484848485,1552,0.6911764706
23,0,18591,0,0.4938271605,1735,0.1433691756
23,1,10364,0,0.4347826087,1637,0.1438848921
23,2,10003,0,0.5479452055,1741,0.1433691756
23,3,9915,0,0.3448275862,1795,0.1433691756
23,4,9565,0,0.5333333333,1708,0.1433691756
23,5,13059,0,0.625,1753,0.1438848921
23,6,9589,0,0.8510638298,1643,0.1433691756
23,7,11849,0,0.8510638298,1639,0.1454545455
23,8,9139,0,0.2857142857,1803,0.1433691756
23,9,10217,0,0.8510638298,1790,0.1433691756
24,0,18034,0,1.5774647887,1570,0.2725060827
24,1,11264,0,1.037037037,1640,0.2725060827
24,2,11460,0,0.7777777778,1760,0.2725060827
24,3,10193,0,2.5454545455,1597,0.2765432099
24,4,10034,0,1.037037037,1742,0.2731707317
24,5,12556,0,2.5454545455,1629,0.2725060827
24,6,10623,0,0.9572649573,1759,0.2731707317
24,7,12519,0,3.027027027,1745,0.2725060827
24,8,10076,0,1.5774647887,1755,0.2731707317
24,9,11003,0,1.037037037,1587,0.2725060827
25,0,19116,0,3.641025641,1566,1.0676691729
25,1,10566,0,3.380952381,1419,1.0364963504
25,2,11384,0,4.8965517241,1465,1.1181102362
25,3,11259,0,4.8965517241,1429,1.0364963504
25,4,13288,0,4.8965517241,1635,1.0676691729
25,5,11876,0,3.380952381,1434,1.0676691729
25,6,11164,0,4.8965517241,1699,1.0364963504
25,7,11659,0,4.8965517241,1661,1.0676691729
25,8,9745,0,4.8965517241,1681,1.0364963504
25,9,11144,0,4.8965517241,1499,1.0364963504
26,0,18279,0,1.7866666667,1614,0.4802867384
26,1,10588,0,3.1904761905,1532,0.4802867384
26,2,10220,0,1.6341463415,1676,0.4802867384
26,3,10683,0,3.1904761905,1469,0.4802867384
26,4,13170,0,1.2523364486,1726,0.4872727273
26,5,10843,0,1.3009708738,1486,0.4802867384
26,6,10333,0,3.8285714286,1584,0.4802867384
26,7,11458,0,3.1904761905,1528,0.4802867384
26,8,10312,0,3.1904761905,1736,0.4872727273
26,9,11901,0,1.4408602151,1617,0.4802867384
27,0,11731,0,0.28125,1715,0.1294964029
27,1,10210,0,0.3913043478,1775,0.1294964029
27,2,10828,0,0.2288135593,1660,0.1294964029
27,3,9188,0,0.2711864407,1726,0.135
27,4,9328,0,0.2711864407,1712,0.1294964029
27,5,9109,0,0.3085714286,1773,0.1294964029
27,6,8862,0,0.3506493506,1865,0.1294964029
27,7,9265,0,0.3333333333,1724,0.1294964029
27,8,9599,0,0.2134387352,1753,0.1294964029
27,9,9258,0,0.2076923077,1632,0.1294964029
28,0,2968,0,0.4511278195,636,0.4511278195
28,1,1808,1,0.8823529412,616,0.4511278195
28,2,1587,0,0.4511278195,608,0.5714285714
28,3,1777,0,0.4511278195,643,0.4511278195
28,4,1834,0,0.4511278195,620,0.4511278195
28,5,1886,0,0.5056179775,607,0.4511278195
28,6,2170,0,1.4634146341,621,0.4511278195
28,7,1764,0,0.4511278195,590,0.4511278195
28,8,1771,0,0.4511278195,576,0.4511278195
28,9,1819,0,0.5056179775,623,0.4511278195
29,0,1838,0,0.3018867925,654,0.2641509434
29,1,1819,0,0.2641509434,634,0.2641509434
29,2,1572,0,0.2641509434,638,0.2641509434
29,3,2043,1,0.2641509434,642,0.2641509434
29,4,1918,0,0.2641509434,657,0.2641509434
29,5,2003,0,0.2641509434,637,0.2641509434
29,6,2012,0,0.3018867925,664,0.2641509434
29,7,2459,0,0.2641509434,652,0.2641509434
29,8,1851,0,0.2641509434,627,0.2641509434
29,9,1529,0,0.2641509434,634,0.2641509434
30,0,2008,1,0.2110091743,590,0.1835106383
30,1,1682,0,0.2110091743,635,0.1835106383
30,2,1984,0,0.1835106383,652,0.1835106383
30,3,2155,0,0.1835106383,660,0.1835106383
30,4,2410,0,0.1835106383,639,0.1835106383
30,5,1831,0,0.1835106383,638,0.1835106383
30,6,2002,0,0.1835106383,653,0.1835106383
30,7,1971,0,0.1835106383,687,0.1835106383
30,8,1740,0,0.1835106383,627,0.1835106383
30,9,1663,0,0.1835106383,665,0.1835106383
31,0,1349,0,1.8780487805,646,1.34375
31,1,1815,0,1.4528301887,638,1.1834862385
31,2,1500,0,3.1463414634,649,1.2405063291
31,3,1541,0,1.1834862385,628,1.1834862385
31,4,1457,0,2.4339622642,635,1.34375
31,5,1623,0,4.9347826087,641,1.1834862385
31,6,1497,0,1.4528301887,642,1.34375
31,7,1367,0,1.1834862385,631,1.1834862385
31,8,1486,0,1.6739130435,642,1.1834862385
31,9,1479,0,4.9,631,1.34375
32,0,4796,0,0.520295203,638,0.520295203
32,1,2643,0,0.9335793358,638,0.520295203
32,2,1888,0,0.9335793358,663,0.520295203
32,3,2781,0,0.520295203,674,0.520295203
32,4,1775,0,0.6,655,0.6
32,5,2199,0,0.520295203,644,0.520295203
32,6,1910,0,1.1096491228,649,0.6
32,7,1699,0,0.6,620,0.520295203
32,8,1800,0,0.6,620,0.520295203
32,9,2301,0,0.520295203,630,0.520295203
33,0,5128,0,0.3324538259,720,0.3324538259
33,1,2518,0,0.3324538259,671,0.3324538259
33,2,1696,0,0.3324538259,668,0.3324538259
33,3,2209,0,0.394984326,651,0.3324538259
33,4,1919,0,0.3324538259,656,0.3324538259
33,5,2357,0,0.3324538259,675,0.3324538259
33,6,2071,0,0.3324538259,663,0.3324538259
33,7,1700,0,0.394984326,681,0.3324538259
33,8,2267,0,0.3324538259,664,0.3324538259
33,9,2109,0,0.3324538259,679,0.3324538259
34,0,4888,0,0.9618320611,657,0.9618320611
34,1,1881,0,0.9618320611,666,0.9618320611
34,2,1954,0,0.9618320611,664,0.9618320611
34,3,1733,0,0.9618320611,672,0.9618320611
34,4,1983,0,0.9618320611,665,0.9618320611
34,5,2719,0,0.9618320611,654,0.9618320611
34,6,1714,0,0.9618320611,659,0.9618320611
34,7,2040,0,0.9618320611,668,0.9618320611
34,8,1865,0,0.9618320611,599,0.9618320611
34,9,1817,0,0.9618320611,652,0.9618320611
35,0,4382,0,1.6183206107,628,0.768115942
35,1,1922,0,0.768115942,658,0.768115942
35,2,1925,0,0.768115942,631,0.768115942
35,3,1892,0,0.768115942,626,0.768115942
35,4,2545,0,0.768115942,596,0.768115942
35,5,2600,0,0.768115942,652,0.7851851852
35,6,1880,0,0.768115942,620,0.768115942
35,7,1793,0,0.768115942,634,0.768115942
35,8,2430,0,0.768115942,620,0.768115942
35,9,1954,0,0.768115942,639,0.768115942
36,0,1545,0,0.56,671,0.3341288783
36,1,1893,0,0.3341288783,688,0.3425925926
36,2,1522,0,0.376344086,639,0.3341288783
36,3,1447,0,0.376344086,644,0.3341288783
36,4,1635,0,0.56,679,0.3425925926
36,5,1497,0,0.3425925926,671,0.3341288783
36,6,1613,0,0.3341288783,649,0.376344086
36,7,1638,0,0.56,651,0.3341288783
36,8,1721,0,0.875,673,0.3425925926
36,9,1811,0,0.4320987654,651,0.3341288783
37,0,12002,0,1.6666666667,2158,0.3435114504
37,1,11142,0,1.4516129032,2038,0.3435114504
37,2,11121,0,1.2857142857,1828,0.3237410072
37,3,11464,0,1.0975609756,2055,0.3237410072
37,4,11325,0,2.6451612903,2007,0.3435114504
37,5,9695,0,2.6451612903,2183,0.3237410072
37,6,10368,0,1.8,2195,0.3435114504
37,7,9326,0,1.3636363636,1856,0.3237410072
37,8,10188,0,2.6451612903,1881,0.3237410072
37,9,12427,0,2.6470588235,1919,0.3237410072
38,0,13517,0,1.3953488372,2025,0.233463035
38,1,11369,0,2.1428571429,2115,0.2264150943
38,2,12389,0,1.3953488372,2225,0.2264150943
38,3,10847,0,1.0169491525,2035,0.2173913043
38,4,12102,0,0.7894736842,1993,0.2173913043
38,5,11556,0,1.7142857143,2135,0.2173913043
38,6,10206,0,1.0714285714,2016,0.2173913043
38,7,11366,0,1.3636363636,2242,0.2264150943
38,8,11527,0,0.8333333333,2249,0.2380952381
38,9,11206,0,1.3953488372,1937,0.2307692308
39,0,12098,0,1.075,2503,0.0897755611
39,1,10729,0,0.5217391304,2029,0.0891089109
39,2,10131,0,0.5217391304,1957,0.0882352941
39,3,11004,0,0.5,2254,0.0891089109
39,4,9792,0,0.45,2138,0.0880195599
39,5,12132,0,0.3623188406,2189,0.0882352941
39,6,10787,0,0.2608695652,2048,0.0880195599
39,7,10842,0,0.3157894737,2039,0.0882352941
39,8,11686,0,0.2571428571,2450,0.0880195599
39,9,10573,0,0.5,2117,0.0880195599
40,0,11374,0,1.1785714286,2232,0.4962406015
40,1,10737,0,4.4,2318,0.4962406015
40,2,9315,0,2.3076923077,1957,0.4782608696
40,3,11334,0,6,2003,0.4962406015
40,4,9894,0,4.125,2332,0.4962406015
40,5,10531,0,4.68,2150,0.4962406015
40,6,9966,0,4.125,2037,0.4782608696
40,7,8599,0,5,2072,0.511627907
40,8,10191,0,3.1875,2149,0.511627907
40,9,12482,0,2.7272727273,2219,0.4962406015
41,0,12486,0,1.25,1881,0.3707865169
41,1,10950,0,3.09375,2019,0.3561151079
41,2,10993,0,2.5384615385,2258,0.4040816327
41,3,9616,0,3.09375,1998,0.3764258555
41,4,10059,0,2.1428571429,1872,0.3561151079
41,5,11926,0,1.7068965517,2239,0.4074074074
41,6,10264,0,1.8679245283,1956,0.3561151079
41,7,10529,0,3.09375,1882,0.3707865169
41,8,10105,0,2.2222222222,2183,0.3764258555
41,9,10446,0,3.09375,2316,0.4040816327
42,0,10505,0,1.8219178082,2112,0.3220338983
42,1,10380,0,0.6683417085,1984,0.3174224344
42,2,9337,0,0.8525641026,2020,0.3174224344
42,3,9044,0,0.8260869565,2210,0.3174224344
42,4,10692,0,2.4181818182,2019,0.3174224344
42,5,11436,0,1.8219178082,1971,0.3189448441
42,6,10455,0,2.078125,2218,0.3174224344
42,7,10662,0,1,2029,0.3220338983
42,8,9853,0,1.2666666667,2093,0.3189448441
42,9,9751,0,1,2115,0.3174224344
43,0,9882,0,3.6041666667,2190,1.2446043165
43,1,10732,0,5.2424242424,2178,1.2814814815
43,2,10505,0,6.1785714286,2140,1.2446043165
43,3,11624,0,8.2380952381,2107,1.2814814815
43,4,12592,0,5.9655172414,2267,1.2814814815
43,5,11640,0,3.8444444444,2189,1.2446043165
43,6,10911,0,6.92,2213,1.2446043165
43,7,11019,0,5.9655172414,2302,1.2446043165
43,8,11201,0,4.9428571429,2232,1.2446043165
43,9,9768,0,5.9655172414,1932,1.2446043165
44,0,12640,0,5.6857142857,2127,0.7184115523
44,1,11560,0,6.1,2004,0.7184115523
44,2,11561,0,4.4857142857,2106,0.7184115523
44,3,12582,0,6.1,1950,0.7184115523
44,4,11917,0,7.3703703704,1950,0.7537878788
44,5,11045,0,5.5454545455,1968,0.7184115523
44,6,10521,0,7.3703703704,1919,0.7743190661
44,7,14099,0,5.5454545455,1924,0.7184115523
44,8,12830,0,7.3703703704,1935,0.7453183521
44,9,11462,0,4.2592592593,2096,0.7537878788
45,0,10595,0,2.9607843137,2204,0.3638554217
45,1,11440,0,3.4318181818,2078,0.3595238095
45,2,10950,0,5.8076923077,2034,0.3595238095
45,3,13995,0,4.5757575758,1995,0.3756218905
45,4,12723,0,5.8076923077,2157,0.3595238095
45,5,12676,0,1.0785714286,1978,0.3612440191
45,6,11624,0,2.2673267327,2288,0.3621103118
45,7,12818,0,3.4318181818,1997,0.3595238095
45,8,12624,0,5.3725490196,1988,0.3595238095
45,9,11781,0,1.9113924051,2197,0.3612440191
46,0,12550,0,2.9090909091,2118,0.4776119403
46,1,13697,0,2.7272727273,2133,0.496124031
46,2,13680,0,3.2,2379,0.4776119403
46,3,12485,0,2.9090909091,2293,0.4776119403
46,4,13337,0,3.7647058824,2260,0.4740740741
46,5,13718,0,3.3333333333,2525,0.5
46,6,13151,0,3.3333333333,2176,0.4671532847
46,7,11425,0,2.3076923077,2193,0.4671532847
46,8,11056,0,4.2857142857,2161,0.4740740741
46,9,11289,0,2.3076923077,2362,0.5203252033
47,0,12706,0,0.4745762712,2532,0.1612903226
47,1,11043,0,0.6818181818,2374,0.1636363636
47,2,12472,0,1,2267,0.1666666667
47,3,11129,0,0.9574468085,2139,0.1666666667
47,4,14771,0,0.7627118644,2208,0.1666666667
47,5,14370,0,0.9574468085,2466,0.1612903226
47,6,11242,0,0.7894736842,2647,0.1612903226
47,7,11788,0,0.9574468085,2301,0.1612903226
47,8,10434,0,0.5957446809,2543,0.1612903226
47,9,11134,0,0.7179487179,2353,0.1612903226
48,0,17499,0,0.578313253,2061,0.1145584726
48,1,10650,1,0.578313253,2072,0.1188118812
48,2,10660,0,0.7868852459,2120,0.1197007481
48,3,11032,0,0.6153846154,2344,0.1145584726
48,4,12492,0,1.0212765957,2330,0.1145584726
48,5,12573,0,0.6486486486,2088,0.1145584726
48,6,12557,0,1.0434782609,1830,0.1145584726
48,7,12642,0,1.6,2193,0.1188118812
48,8,14188,0,0.7868852459,2169,0.1188118812
48,9,13596,0,0.5052631579,2029,0.1188118812
49,0,18829,1,5.5238095238,2185,0.4592592593
49,1,12999,0,2.0666666667,2323,0.4592592593
49,2,12689,0,2.9523809524,2434,0.484375
49,3,13316,0,2.9523809524,2015,0.4592592593
49,4,13731,0,2.9523809524,2478,0.4592592593
49,5,11515,0,2.9523809524,2301,0.4592592593
49,6,11480,0,2.9,2344,0.4592592593
49,7,13217,0,2.2962962963,2454,0.4592592593
49,8,12032,0,2.9,2224,0.4592592593
49,9,11530,0,3.4117647059,2175,0.4592592593
50,0,18627,0,2.2063492063,2037,0.5018050542
50,1,12169,0,1.8289473684,2227,0.5325670498
50,2,12946,0,2.9574468085,1752,0.5091575092
50,3,12640,0,3.3902439024,2058,0.5018050542
50,4,13353,0,3.3902439024,2005,0.5148148148
50,5,11806,0,1.9577464789,2345,0.5018050542
50,6,13887,0,3.7567567568,2222,0.5091575092
50,7,12402,0,1.8289473684,2229,0.5018050542
50,8,13940,0,3.7567567568,2132,0.5018050542
50,9,12818,0,2.9574468085,2353,0.5018050542
51,0,18906,0,1.7142857143,1803,0.2126582278
51,1,13610,0,1.3434343434,1741,0.2024096386
51,2,12726,0,0.9438202247,1874,0.2024096386
51,3,13529,0,2.7708333333,2332,0.2089552239
51,4,12414,0,2.7708333333,2082,0.2024096386
51,5,14915,1,2.7142857143,2117,0.2068965517
51,6,12015,0,1.3333333333,2031,0.2024096386
51,7,13232,0,1.1351351351,2237,0.2068965517
51,8,11863,0,1.3333333333,2182,0.2053789731
51,9,11992,0,1.75,2055,0.2068965517
52,0,12819,0,14.6153846154,1866,1.3669064748
52,1,12231,0,11.875,2166,1.3768115942
52,2,12123,0,12.6666666667,2140,1.3669064748
52,3,12324,0,27.1428571429,2258,1.3868613139
52,4,11494,0,14.6153846154,1982,1.3669064748
52,5,11040,0,19,2110,1.3768115942
52,6,10442,0,7.9166666667,2314,1.3768115942
52,7,11958,0,19,2304,1.3669064748
52,8,11344,0,11.1764705882,2378,1.40625
52,9,10591,0,6.5517241379,2127,1.3669064748
53,0,12005,1,3.2916666667,2205,0.5724637681
53,1,13147,0,3.2244897959,2091,0.5851851852
53,2,11888,0,2.6333333333,2141,0.5724637681
53,3,12219,0,3.2244897959,1807,0.5808823529
53,4,11641,0,1.7362637363,2213,0.5808823529
53,5,13142,0,3.2916666667,2338,0.6030534351
53,6,13589,0,3.95,2207,0.5724637681
53,7,14633,0,4.9375,2143,0.5851851852
53,8,10983,0,3.6744186047,2256,0.5808823529
53,9,13346,0,2,1984,0.5808823529
54,0,12466,0,1.0372670807,2454,0.4014423077
54,1,12872,0,1.637254902,2277,0.4014423077
54,2,12236,0,1.237037037,2372,0.4024096386
54,3,12195,0,1.4910714286,2424,0.4014423077
54,4,12179,0,0.6325757576,2230,0.4014423077
54,5,12347,0,1.3916666667,2331,0.4024096386
54,6,11854,0,1.637254902,2502,0.4014423077
54,7,13483,0,0.8571428571,2467,0.4014423077
54,8,12971,0,1.5789473684,2543,0.4024096386
54,9,14583,0,0.652173913,2415,0.4014423077
55,0,2609,0,0.5213675214,1393,0.5213675214
55,1,2567,0,0.5213675214,1317,0.5213675214
55,2,2274,0,1.8431372549,1396,0.525862069
55,3,2731,0,0.5213675214,1341,0.525862069
55,4,2394,0,1.7941176471,1260,0.5213675214
55,5,2614,0,1.8431372549,1258,0.5213675214
55,6,2448,0,0.5454545455,1298,0.525862069
55,7,2510,0,2.2352941176,1264,0.5213675214
55,8,3920,0,1.8431372549,1289,0.5213675214
55,9,2805,0,0.5213675214,1272,0.5213675214
56,0,2659,0,0.2796208531,1348,0.3878787879
56,1,2736,0,0.2744186047,1244,0.3062200957
