84	1750	1798
85	1739	1896
86	1818	1825
137	5043	5853
138	5278	6117
139	6069	6081
140	5389	5987
141	5401	5857
143	5548	5833
144	5487	5900
711	1696	1706
844	1091	1207
956	14338	15467
962	15063	15128
965	13468	14058
966	14637	15379
968	13303	15184
972	14873	15160
976	1769	1861
981	1607	1837
1000	3076	3352
1003	3497	3565
1005	2806	3423
1006	3207	3391
1008	3282	3450
1027	9370	9731
1028	9007	10251
1030	8116	10174
1031	8748	9804
1032	8407	10068
1033	9440	9733
1034	8367	9749
1035	9251	9731
1171	10571	10675
1172	10785	11101
1201	15036	15366
1206	13887	14607
1208	15211	15736
1209	13860	15475
1210	14796	15531
1212	14541	15823
1243	3175	3589
1245	3368	3599
1246	3449	3598
1250	3546	3680
1251	3442	3548
1270	4244	4540
1272	4112	4534
1274	4196	4509
1275	3750	4497
1276	4163	4518
1277	4125	4491
1278	4195	4528
1324	2469	2553
1325	2531	2547
1326	2485	2532
1328	2146	2561
1329	1995	2560
1330	2526	2576
1332	2456	2517
1366	12784	12993
1367	13168	13176
1432	5146	5534
1433	5197	5598
1436	5099	5502
1437	4955	5495
1438	5185	5553
1439	5026	5522
1451	9007	9249
1580	13764	14771
1604	16989	17591
1605	16904	18101
1606	16797	17085
1607	16250	17172
1609	15971	17888
1610	15799	17527
1611	17551	18118
1612	17842	18245
1613	16692	17417
1614	17745	18158
1615	17265	18021
1616	16400	18205
1617	16412	18887
1619	18002	18223
1620	17534	17730
1687	12273	45191
2170	12561	14337
2171	10343	13510
2172	11000	16167
2173	11042	13780
2174	11144	15464
2175	12552	14552
2176	12059	13915
2177	11210	15912
2178	11600	12858
2179	11352	12479
2180	11527	11982
2181	10647	12557
2183	9537	11233
2184	9972	12039
2185	10276	12266
2186	10217	13873
2187	10148	12418
2197	11161	21428
2246	4957	5011
2252	13829	14204
2253	12512	13085
2255	12741	12851
2257	12744	16846
2259	13226	15489
2260	11969	12370
2261	13015	13974
2262	12660	13917
2264	12861	13658
2296	2976	4045
2297	3661	4079
2298	2728	3729
2299	3096	3920
2300	3065	4050
2301	2226	4040
2302	3032	4099
2303	3826	3966
2304	3491	3984
2323	4838	5591
