82	1072	1791
83	1308	1790
84	1341	1788
85	1009	1783
86	1284	1788
87	1400	1788
88	1380	1789
89	1363	1792
90	1499	1792
109	2978	3094
110	2905	3113
111	2720	3083
114	2801	3123
115	2733	3113
116	2716	3083
117	2917	3100
136	3796	5761
137	3835	5721
138	3895	5780
139	3723	5731
140	4031	5744
141	3666	5746
142	3509	5706
143	3776	5677
144	4361	5671
383	947	974
386	943	974
389	943	995
390	996	1014
401	933	1022
404	971	1000
466	3195	3358
514	1404	1404
515	1396	1416
516	1358	1411
517	1348	1431
518	1407	1415
519	1416	1431
520	1382	1436
521	1394	1419
522	1301	1439
624	2714	2764
625	2745	2759
703	1529	1696
704	1374	1693
705	1301	1695
706	1495	1696
707	1547	1692
708	1535	1691
709	1486	1690
710	1442	1691
711	1376	1690
784	1586	1737
785	1628	1745
786	1591	1753
787	1501	1731
789	1524	1755
790	1607	1736
791	1531	1729
792	1465	1776
841	1005	1184
842	768	1183
843	1032	1185
844	743	1185
845	906	1186
846	942	1183
883	3393	3551
884	3391	3464
885	3311	3536
898	1619	1656
919	3045	3059
921	3003	3211
925	3000	3181
938	4908	5810
939	5058	5419
940	4764	5390
941	5369	5411
942	5184	5224
943	5085	5559
944	4916	5054
955	11608	13976
956	12173	13906
957	12780	13702
958	12962	13678
959	12456	14336
960	12077	14166
961	12521	13880
962	12355	14295
963	12094	14116
964	11876	14347
965	11909	13216
966	12233	14488
967	12396	13548
968	11680	14375
969	12430	13254
970	12299	13604
971	12019	13824
972	11429	13801
973	1555	1799
974	1673	1799
975	1418	1799
976	1247	1801
977	1428	1800
978	1443	1800
979	1461	1800
980	1241	1800
981	1256	1800
982	1605	1857
983	1541	1836
984	1826	1861
985	1727	1835
986	1628	1821
987	1809	1881
988	1666	1863
989	1582	1877
990	1574	1834
991	1697	1850
992	1762	1859
993	1711	1863
994	1683	1866
995	1715	1858
996	1732	1862
997	1639	1855
998	1625	1867
999	1662	1872
1000	2255	3314
1001	2264	3330
1002	2272	3337
1003	2204	3329
1004	2389	3328
1005	2398	3330
1006	2137	3333
1007	2199	3328
1008	2358	3329
1009	3314	3429
1010	3209	3382
1012	3119	3355
1013	3401	3431
1014	3271	3376
1015	3031	3369
1016	3273	3421
1018	3370	3416
1019	3079	3478
1020	3176	3449
1021	2898	3463
1022	3345	3410
1023	3237	3378
1024	3086	3401
1025	3409	3428
1026	3036	3379
1027	6861	9675
1028	7264	9679
