#dataset_conf_id,mypso_avg_span,ndpso_avg_span
2190,0.4085301761827399,0.4660098062473631
2191,12.559242910980494,14.97031338466453
2192,1.8509619654376732,3.461255957661746
2193,1.0359179015820925,2.056993919501218
2194,5.804135597224784,10.342899205825026
2195,4.187468259888354,4.935252815095544
2196,1.589924149309241,3.677338775390493
2215,4.090107992531674,6.627705483261441
2216,1.4039003912223558,2.274843031702198
2217,0.7774248192136716,1.7945669673791869
2218,3.72936879127984,6.011644614940628
2219,5.883776547873394,7.974572618879561
2220,2.1039296050606024,3.491660090068811
2221,40.98359336219336,63.301785714285714
2222,2.2908717234089933,4.263271514199069
2223,3.3906080538772505,7.038388230299722
2242,6.733392366550869,7.892981830018295
2243,5.434250743427445,6.742198301075383
2244,4.9307797537619695,6.774386993603412
2245,24.446800214083645,36.02426408746846
2246,12.440709617180206,17.939591587930508
2247,7.687647058823529,10.108459041570324
2248,24.164111498257835,29.06434478581324
2249,36.60963114343532,66.76369576143408
2250,17.415846358496843,104.42965164615896
2269,1.1187739463601536,1.2411073600728773
2270,3.599999999999999,3.6000000000000005
2271,1.482490272373541,1.6930762961404988
2272,5.067375886524823,5.5339492347891
2273,2.6760563380281686,3.4094443964399894
2274,6.057698737533867,7.7184815818297094
2275,11.687022900763354,16.79651399491094
2276,5.415584415584417,6.294458874458875
2277,5.01917808219178,6.292338766123388
2278,0.7068051288135427,1.426431186923153
2279,1.4650109819937407,1.7225607036433268
2280,0.29690450858066264,0.42974858282612455
2281,2.204817979776349,5.566662226662226
2282,1.0415070693921813,1.1219409858434246
2283,1.2115121123888852,1.4274274271737581
2284,1.8349369216485254,3.0824269611226134
2286,1.831460734817019,2.0263209330291905
2288,0.539003642116361,0.5726135240264474
2289,0.669276042395185,0.7101862014770485
2291,0.6725968296626251,0.8378556581627258
2293,3.258921429377432,3.7092432096051837
2294,0.6914046644493329,1.1016328649279175
2296,9.154185022026434,9.154185022026434
2297,3.984466019417475,3.984466019417476
